name,url,song0,song1,song2,song3,song4
take_nyan,https://scoresaber.com/u/76561198138892498,91.16,92.5,93.46,93.42,95.46
KASUMIDUKI,https://scoresaber.com/u/76561199063097036,93.71,93.79,86.8,94.35,94.09
Naru_mori,https://scoresaber.com/u/76561198282478873,93.4,93.39,93.64,93.86,95.57
I-tsuki87,https://scoresaber.com/u/76561198145955422,91.99,94.33,84.68,94.56,95.06
Habryka,https://scoresaber.com/u/76561198056948796,93.52,93.5,85.78,94.0,93.2
renon,https://scoresaber.com/u/76561198967572508,91.25,93.98,91.59,93.98,94.33
おかず,https://scoresaber.com/u/76561199134247982,93.25,93.98,93.0,94.47,95.57
purini（棄権）,https://scoresaber.com/u/76561198381759402,91.7,91.97,88.55,93.23,93.45
mioshixy(みおしき),https://scoresaber.com/u/76561198889417236,87.82,90.29,90.72,92.27,94.22
bluewingoo,https://scoresaber.com/u/76561198092977917,91.07,92.17,92.52,93.84,95.72
Rezamarisa,https://scoresaber.com/u/76561198212339568,84.33,88.96,0,91.74,91.63
seozou,https://scoresaber.com/u/76561198114857325,89.67,92.22,90.38,93.06,92.25
ケロきち,https://scoresaber.com/u/76561198799630692,89.9,91.29,92.03,92.51,93.92
kisaragi_su,https://scoresaber.com/u/76561199071648925,82.46,91.43,82.78,92.3,92.41
yas,https://scoresaber.com/u/76561198255733639,88.37,90.23,86.92,93.13,94.41
